Year,Vi,Multi-adult,Multi-adult with children,"Multi-adult, 65+",Single,Single with children,"Single, 65+",min,max,Income_band
2020,6000,11292.4181215783,16614.797757266,5499.31139215736,5670.79952376192,6141.49062429192,1616.44250351269,"$6,000","$8,000","$6,000-$8,000"
2020,8000,13282.1142055186,29746.4083253028,7376.43833752754,9324.44769393742,7108.40223471139,2726.74101009632,"$8,000","$10,000","$8,000-$10,000"
2020,10000,23002.6917487319,48163.7084811099,8187.83242556638,11248.5889844192,15902.1639996865,3260.14452107045,"$10,000","$12,000","$10,000-$12,000"
2020,12000,16352.429320569,47046.306075091,6616.84555782937,8687.988167738,26241.7383976948,6797.08118023682,"$12,000","$14,000","$12,000-$14,000"
2020,14000,21095.6009312331,49420.4385897019,13412.4154178731,8723.49993103777,26440.0186614081,9317.19414213608,"$14,000","$16,000","$14,000-$16,000"
2020,16000,30184.0022442385,82527.1576649518,16758.2728731607,5671.88932222096,21527.6947869431,20319.7638477839,"$16,000","$18,000","$16,000-$18,000"
2020,18000,26134.2129341825,85878.736641008,30208.7563523747,5621.65244481167,16018.7109503675,24344.6135480334,"$18,000","$20,000","$18,000-$20,000"
2020,20000,32652.0918046551,113938.389461567,65757.8581152349,5514.75048859054,15324.5574915629,22892.0070464689,"$20,000","$22,000","$20,000-$22,000"
2020,22000,30826.6823808908,108073.679985107,51296.7330584271,5571.33607549802,10452.4546446855,14435.6556158742,"$22,000","$24,000","$22,000-$24,000"
2020,24000,30054.812236093,101465.289793558,39520.1559588692,7444.74304126916,10425.5007550925,9368.35259506501,"$24,000","$26,000","$24,000-$26,000"
2020,26000,23328.9953812563,110133.769397382,28013.9212397538,6421.59564584165,7659.03789034288,6013.89348822764,"$26,000","$28,000","$26,000-$28,000"
2020,28000,34177.4331099595,105600.24160508,22772.3922192566,7444.90200666097,5074.96550179695,4024.91907419972,"$28,000","$30,000","$28,000-$30,000"
2020,30000,40256.7845177554,119969.632525876,20282.6445140919,6865.32525668209,6232.72126831091,2906.34109368967,"$30,000","$32,000","$30,000-$32,000"
2020,32000,31991.3561152224,102049.884078675,19716.2933664304,6770.24303487902,3284.09517483148,2842.86049179395,"$32,000","$34,000","$32,000-$34,000"
2020,34000,41063.5903874632,93462.8648681094,17961.7636045521,7289.81562217244,3315.07163135742,2824.72235898679,"$34,000","$36,000","$34,000-$36,000"
2020,36000,41416.5881298269,88081.7586740204,20619.1497783506,5644.06573302328,2499.61515094258,2773.83890941113,"$36,000","$38,000","$36,000-$38,000"
2020,38000,35495.0271569248,87467.8033872186,16825.4549883474,4768.80962187462,2382.92255725525,3265.52865361073,"$38,000","$40,000","$38,000-$40,000"
2020,40000,39343.0138322198,79577.7675978302,21854.450661391,5084.39878843972,1933.68773224822,2226.82403180102,"$40,000","$42,000","$40,000-$42,000"
2020,42000,47028.2883905686,78255.8288812963,16498.3041026737,4088.15936229867,1833.66541430724,2562.8024680962,"$42,000","$44,000","$42,000-$44,000"
2020,44000,31852.2738447201,58888.0559230773,22408.8242503056,3899.06581274056,1762.85021213893,2529.85488048435,"$44,000","$46,000","$44,000-$46,000"
2020,46000,36744.9101433484,57251.3303298182,16935.7695763582,4400.45030027922,781.904563753662,2888.26749118304,"$46,000","$48,000","$46,000-$48,000"
2020,48000,46984.6870630363,52722.3953564675,15427.5536792341,3827.84676405287,781.904563753691,2460.9587173576,"$48,000","$50,000","$48,000-$50,000"
2020,50000,40604.3586081511,39738.9231418052,10929.1104477739,4048.30870539459,643.113517362857,2326.22473008829,"$50,000","$52,000","$50,000-$52,000"
2020,52000,39614.456663615,43233.7692277972,13572.5630218617,2838.10963525568,413.661319285224,1259.03993787427,"$52,000","$54,000","$52,000-$54,000"
2020,54000,34541.7603404508,34580.46899141,13063.6462597578,2482.50952448076,413.661319285253,1825.9087360292,"$54,000","$56,000","$54,000-$56,000"
2020,56000,30327.8676185692,21751.8685954544,12376.4075488317,1619.84925842719,413.661319285224,1095.95159968146,"$56,000","$58,000","$56,000-$58,000"
2020,58000,41923.3705732857,24541.218794392,11285.0103110125,1771.01843785716,413.661319285253,887.027609910962,"$58,000","$60,000","$58,000-$60,000"
2020,60000,24513.3455905144,23498.9488733248,8304.33224441134,2403.83154684375,413.661319285224,604.561759695673,"$60,000","$62,000","$60,000-$62,000"
2020,62000,24862.8427323537,18874.4519864386,8573.44059923198,2261.33136638298,946.784699571202,604.561759695644,"$62,000","$64,000","$62,000-$64,000"
2020,64000,35385.4015550353,25327.300860838,14594.9935477413,1623.68628603156,1029.88557185332,591.550061514747,"$64,000","$66,000","$64,000-$66,000"
2020,66000,26760.673096451,19180.3821939328,10405.7228454652,1100.5812892876,390.945463894168,578.403856781224,"$66,000","$68,000","$66,000-$68,000"
2020,68000,25303.8006167663,16628.7190538282,7024.68868784048,1268.7576338434,48.8732288869505,578.403856781224,"$68,000","$70,000","$68,000-$70,000"
2020,70000,23673.3419749939,16325.3434840681,5525.57778612443,1275.54939922164,48.8732288869796,509.338765217515,"$70,000","$72,000","$70,000-$72,000"
2020,72000,17057.8176739861,15597.9461117582,4667.51422456862,1105.76006631015,48.8732288869796,420.462588664173,"$72,000","$74,000","$72,000-$74,000"
2020,74000,18242.2013535867,13389.3747546999,4587.96148709045,999.298603364849,48.8732288869505,420.462588664144,"$74,000","$76,000","$74,000-$76,000"
2020,76000,14116.2641162388,11563.7340106671,4826.17869650608,782.957397347636,48.8732288869796,420.462588664173,"$76,000","$78,000","$76,000-$78,000"
2020,78000,11600.5399310072,9596.89255543659,5872.21373785008,782.957397347636,48.8732288869796,361.041285572574,"$78,000","$80,000","$78,000-$80,000"
2020,80000,14025.7936429279,9406.54337965837,3361.22637773328,568.373811709258,48.8732288869505,159.424008730421,"$80,000","$82,000","$80,000-$82,000"
2020,82000,12068.2165218864,7431.39866650337,3361.22637773328,470.144914424978,48.8732288869796,159.424008730421,"$82,000","$84,000","$82,000-$84,000"
2020,84000,8484.50654616766,7431.39866650337,5592.40645538201,470.144914424949,48.8732288869796,159.424008730421,"$84,000","$86,000","$84,000-$86,000"
2020,86000,10141.3810458228,7431.39866650337,3828.1931696923,470.144914424978,48.8732288869505,159.424008730421,"$86,000","$88,000","$86,000-$88,000"
2020,88000,9564.02007855265,6349.65492469724,3158.72378641879,422.858884396323,48.8732288869796,159.42400873045,"$88,000","$90,000","$88,000-$90,000"
2020,90000,8495.01550957863,6346.35861642752,2686.49351793469,303.105902017356,48.8732288869796,159.424008730421,"$90,000","$92,000","$90,000-$92,000"
2020,92000,5687.60202439409,6346.35861642705,2277.13402598188,303.105902017356,48.8732288869796,159.424008730421,"$92,000","$94,000","$92,000-$94,000"
2020,94000,5687.60202439386,5495.92154175881,2277.13402598177,303.105902017356,48.8732288869505,159.424008730421,"$94,000","$96,000","$94,000-$96,000"
2020,96000,5475.13189584785,4093.9251039396,1635.4210919172,303.105902017356,48.8732288869796,159.424008730421,"$96,000","$98,000","$96,000-$98,000"
2020,98000,5437.25286364742,4093.92510393914,950.117015899043,303.105902017356,48.8732288869796,159.42400873045,"$98,000","$100,000","$98,000-$100,000"
2020,1e+05,4645.21059230762,4093.9251039396,950.117015899043,303.105902017356,48.8732288869505,147.076164554484,"$100,000","$102,000","$100,000-$102,000"
2020,102000,3293.71327749454,4093.92510393914,950.117015899043,285.999508595385,48.8732288869796,60.7721860221354,"$102,000","$104,000","$102,000-$104,000"
2020,104000,3293.71327749477,4093.9251039396,950.117015899043,265.408976866282,48.8732288869796,60.7721860221063,"$104,000","$106,000","$104,000-$106,000"
2020,106000,3293.71327749454,3172.10423406633,950.117015899043,265.408976866282,48.8732288869505,60.7721860221354,"$106,000","$108,000","$106,000-$108,000"
2020,108000,3701.18919279007,2891.77684416203,950.117015899043,265.408976866282,48.8732288869796,60.7721860221063,"$108,000","$110,000","$108,000-$110,000"
2020,110000,4765.50633186591,2891.77684416156,963.831095905742,265.408976866253,48.8732288869796,60.7721860221354,"$110,000","$112,000","$110,000-$112,000"
2020,112000,4765.50633186614,2891.77684416203,1031.41596568108,265.408976866282,48.8732288869505,60.7721860221354,"$112,000","$114,000","$112,000-$114,000"
2020,114000,4164.27142210095,2891.77684416156,1031.41596568096,265.408976866282,48.8732288869796,60.7721860221063,"$114,000","$116,000","$114,000-$116,000"
2020,116000,3424.05160787492,2891.77684416203,1031.41596568096,265.408976866282,48.8732288869796,60.7721860221354,"$116,000","$118,000","$116,000-$118,000"
2020,118000,3424.05160787492,2891.77684416156,1031.41596568108,228.090393137478,48.8732288869505,60.7721860221063,"$118,000","$120,000","$118,000-$120,000"
2020,120000,3424.05160787469,2891.77684416156,1031.41596568096,208.390814885905,48.8732288869796,60.7721860221354,"$120,000","$122,000","$120,000-$122,000"
2020,122000,2522.52326085372,1778.4186929171,1031.41596568108,208.390814885905,48.8732288869796,60.7721860221354,"$122,000","$124,000","$122,000-$124,000"
2020,124000,1660.98014056124,1539.95469784504,901.351493696799,208.390814885905,48.8732288869505,60.7721860221063,"$124,000","$126,000","$124,000-$126,000"
2020,126000,1660.98014056101,1539.95469784457,729.2057969952,208.390814885905,48.8732288869796,60.7721860221354,"$126,000","$128,000","$126,000-$128,000"
2020,128000,1660.98014056124,1539.95469784457,729.205796995084,208.390814885905,48.8732288869796,60.7721860221063,"$128,000","$130,000","$128,000-$130,000"
2020,130000,1660.98014056124,1539.95469784457,729.2057969952,208.390814885905,48.8732288869505,60.7721860221354,"$130,000","$132,000","$130,000-$132,000"
2020,132000,1660.98014056124,1539.95469784457,729.205796995084,208.390814885905,48.8732288869796,60.7721860221063,"$132,000","$134,000","$132,000-$134,000"
