Year,Vi,Multi-adult,Multi-adult with children,"Multi-adult, 65+",Single,Single with children,"Single, 65+",min,max,Income_band
2018,144000,1299.62657681596,1826.26355416188,556.134346467908,68.4581308750785,78.3815415258578,90.0045679686591,"$144,000","$146,000","$144,000-$146,000"
2018,146000,1299.62657681573,1826.26355416235,332.094838604913,68.4581308750785,78.3815415258869,90.0045679686882,"$146,000","$148,000","$146,000-$148,000"
2018,148000,1299.62657681596,2191.77085036086,332.094838604913,68.4581308750785,78.3815415258869,90.0045679686882,"$148,000","$150,000","$148,000-$150,000"
2018,150000,1299.62657681573,4345.91399634443,332.09483860503,68.4581308750785,78.3815415258578,90.0045679686591,"$150,000","$152,000","$150,000-$152,000"
2018,152000,1299.62657681596,4345.9139963449,332.094838604913,68.4581308750785,78.3815415258869,90.0045679686882,"$152,000","$154,000","$152,000-$154,000"
2018,154000,1299.62657681573,4345.91399634443,332.094838604913,68.4581308750785,78.3815415258869,90.0045679686882,"$154,000","$156,000","$154,000-$156,000"
2018,156000,1299.62657681596,4345.91399634443,332.094838604913,68.4581308750785,78.3815415258578,90.0045679686591,"$156,000","$158,000","$156,000-$158,000"
2018,158000,1299.62657681573,4345.91399634443,332.09483860503,68.4581308750785,78.3815415258869,90.0045679686882,"$158,000","$160,000","$158,000-$160,000"
2018,160000,27379.7873195335,0,10588.2581136231,3132.18881200449,0,0,"$160,000",Max,">$160,000"
2019,0,8502.22480905705,12773.0894155268,2568.70711287651,2952.23673650964,2832.50943665771,3392.06282560042,Min,"$2,000","<$2,000"
2019,2000,7741.65446266801,12025.0251455567,2568.70711287651,1701.47104841459,904.618900749752,924.562027900667,"$2,000","$4,000","$2,000-$4,000"
2019,4000,6703.18997615408,9439.35053455957,2480.49006119306,1679.20559438319,1135.27870581307,686.421192965724,"$4,000","$6,000","$4,000-$6,000"
2019,6000,7329.7430619276,9439.35053455957,2287.60331711108,1379.42134120952,1515.18482786206,510.063889896231,"$6,000","$8,000","$6,000-$8,000"
2019,8000,8187.11919663745,11257.9782003197,2287.60331711108,1208.42995905718,1841.3461062568,510.063889896232,"$8,000","$10,000","$8,000-$10,000"
2019,10000,11758.0433365953,11652.6429865636,5214.67453573156,2821.76534524423,4049.62024099667,780.165691097589,"$10,000","$12,000","$10,000-$12,000"
2019,12000,13078.4677327756,14432.1827886538,8835.36286067168,7116.85709654413,4093.3411827096,1053.85155328642,"$12,000","$14,000","$12,000-$14,000"
2019,14000,12000.5139178479,18643.6235294126,7079.22565201254,8646.51997863967,5599.72797510728,1019.58916862371,"$14,000","$16,000","$14,000-$16,000"
2019,16000,12184.7544525031,26418.4428604128,6858.51328960392,8956.28403258212,15284.2310468578,2266.41752452038,"$16,000","$18,000","$16,000-$18,000"
2019,18000,12561.7487053899,38790.1813209208,8598.68502591989,11415.2870644673,14074.5903479737,2822.7556910554,"$18,000","$20,000","$18,000-$20,000"
2019,20000,15748.2762342278,43894.9463719996,9964.33781578583,8109.83446087667,17146.830004637,5725.04187903965,"$20,000","$22,000","$20,000-$22,000"
2019,22000,21694.7004504764,60627.2391465592,59929.6469265205,5223.81619096597,15256.042101721,33916.402213221,"$22,000","$24,000","$22,000-$24,000"
